drg_cd,drg_desc,service_line
1,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,Cardiology
3,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NEC",Pulmonology/Respiratory
4,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOU",Pulmonology/Respiratory
5,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,Gastroenterology
6,LIVER TRANSPLANT WITHOUT MCC,Gastroenterology
7,LUNG TRANSPLANT,Pulmonology/Respiratory
11,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC",Pulmonology/Respiratory
12,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC",Pulmonology/Respiratory
13,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC",Pulmonology/Respiratory
14,ALLOGENEIC BONE MARROW TRANSPLANT,Oncology
16,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,Oncology
18,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,Oncology
20,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC,Neurology
21,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH CC,Neurology
23,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC O,Neurology
24,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MC,Neurology
25,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,Neurology
26,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,Neurology
27,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC,Neurology
28,SPINAL PROCEDURES WITH MCC,Neurology
29,SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS,Neurology
30,SPINAL PROCEDURES WITHOUT CC/MCC,Neurology
31,VENTRICULAR SHUNT PROCEDURES WITH MCC,Neurology
32,VENTRICULAR SHUNT PROCEDURES WITH CC,Neurology
33,VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC,Neurology
34,CAROTID ARTERY STENT PROCEDURES WITH MCC,Neurology
35,CAROTID ARTERY STENT PROCEDURES WITH CC,Neurology
36,CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC,Neurology
37,EXTRACRANIAL PROCEDURES WITH MCC,Neurology
38,EXTRACRANIAL PROCEDURES WITH CC,Neurology
39,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC,Neurology
40,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH MCC",Neurology
41,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH CC OR PERIPHERAL NEUR",Neurology
42,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITHOUT CC/MCC",Neurology
54,NERVOUS SYSTEM NEOPLASMS WITH MCC,Neurology
55,NERVOUS SYSTEM NEOPLASMS WITHOUT MCC,Neurology
56,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC,Neurology
57,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,Neurology
61,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",Neurology
62,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",Neurology
64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,Neurology
65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,Neurology
66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,Neurology
68,PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT MCC,Neurology
69,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,Neurology
70,OTHER CEREBROVASCULAR DISORDERS WITH MCC,Neurology
71,OTHER CEREBROVASCULAR DISORDERS WITH CC,Neurology
72,OTHER CEREBROVASCULAR DISORDERS WITHOUT CC/MCC,Neurology
73,CRANIAL AND PERIPHERAL NERVE DISORDERS WITH MCC,Neurology
74,CRANIAL AND PERIPHERAL NERVE DISORDERS WITHOUT MCC,Neurology
77,HYPERTENSIVE ENCEPHALOPATHY WITH MCC,Neurology
78,HYPERTENSIVE ENCEPHALOPATHY WITH CC,Neurology
80,NONTRAUMATIC STUPOR AND COMA WITH MCC,Neurology
82,TRAUMATIC STUPOR AND COMA >1 HOUR WITH MCC,Neurology
83,TRAUMATIC STUPOR AND COMA >1 HOUR WITH CC,Neurology
84,TRAUMATIC STUPOR AND COMA >1 HOUR WITHOUT CC/MCC,Neurology
85,TRAUMATIC STUPOR AND COMA <1 HOUR WITH MCC,Neurology
86,TRAUMATIC STUPOR AND COMA <1 HOUR WITH CC,Neurology
87,TRAUMATIC STUPOR AND COMA <1 HOUR WITHOUT CC/MCC,Neurology
88,CONCUSSION WITH MCC,Neurology
89,CONCUSSION WITH CC,Neurology
90,CONCUSSION WITHOUT CC/MCC,Neurology
91,OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC,Neurology
92,OTHER DISORDERS OF NERVOUS SYSTEM WITH CC,Neurology
93,OTHER DISORDERS OF NERVOUS SYSTEM WITHOUT CC/MCC,Neurology
94,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH MCC,Neurology
97,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH MCC,Neurology
100,SEIZURES WITH MCC,Neurology
101,SEIZURES WITHOUT MCC,Neurology
102,HEADACHES WITH MCC,Neurology
103,HEADACHES WITHOUT MCC,Neurology
113,ORBITAL PROCEDURES WITH CC/MCC,Other
115,EXTRAOCULAR PROCEDURES EXCEPT ORBIT,Other
116,INTRAOCULAR PROCEDURES WITH CC/MCC,Other
121,ACUTE MAJOR EYE INFECTIONS WITH CC/MCC,Other
123,NEUROLOGICAL EYE DISORDERS,Other
124,OTHER DISORDERS OF THE EYE WITH MCC OR THROMBOLYTIC AGENT,Other
125,OTHER DISORDERS OF THE EYE WITHOUT MCC,Other
141,MAJOR HEAD AND NECK PROCEDURES WITH CC,Other
142,MAJOR HEAD AND NECK PROCEDURES WITHOUT CC/MCC,Other
144,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH CC",Other
145,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITHOUT CC/MCC",Other
146,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH MCC",Other
147,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH CC",Other
149,DYSEQUILIBRIUM,Neurology
151,EPISTAXIS WITHOUT MCC,Other
152,OTITIS MEDIA AND URI WITH MCC,Other
153,OTITIS MEDIA AND URI WITHOUT MCC,Other
154,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH MCC",Other
155,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH CC",Other
157,DENTAL AND ORAL DISEASES WITH MCC,Other
158,DENTAL AND ORAL DISEASES WITH CC,Other
163,MAJOR CHEST PROCEDURES WITH MCC,Pulmonology/Respiratory
164,MAJOR CHEST PROCEDURES WITH CC,Pulmonology/Respiratory
165,MAJOR CHEST PROCEDURES WITHOUT CC/MCC,Pulmonology/Respiratory
166,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MCC,Pulmonology/Respiratory
167,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH CC,Pulmonology/Respiratory
168,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITHOUT CC/MCC,Pulmonology/Respiratory
173,ULTRASOUND ACCELERATED AND OTHER THROMBOLYSIS WITH PRINCIPAL DIAGNOSIS PULMONARY EMBOLIS,Pulmonology/Respiratory
175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,Pulmonology/Respiratory
176,PULMONARY EMBOLISM WITHOUT MCC,Pulmonology/Respiratory
177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,Pulmonology/Respiratory
178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,Pulmonology/Respiratory
179,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,Pulmonology/Respiratory
180,RESPIRATORY NEOPLASMS WITH MCC,Pulmonology/Respiratory
181,RESPIRATORY NEOPLASMS WITH CC,Pulmonology/Respiratory
183,MAJOR CHEST TRAUMA WITH MCC,Pulmonology/Respiratory
184,MAJOR CHEST TRAUMA WITH CC,Pulmonology/Respiratory
185,MAJOR CHEST TRAUMA WITHOUT CC/MCC,Pulmonology/Respiratory
186,PLEURAL EFFUSION WITH MCC,Pulmonology/Respiratory
187,PLEURAL EFFUSION WITH CC,Pulmonology/Respiratory
189,PULMONARY EDEMA AND RESPIRATORY FAILURE,Pulmonology/Respiratory
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,Pulmonology/Respiratory
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC,Pulmonology/Respiratory
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITHOUT CC/MCC,Pulmonology/Respiratory
193,SIMPLE PNEUMONIA AND PLEURISY WITH MCC,Pulmonology/Respiratory
194,SIMPLE PNEUMONIA AND PLEURISY WITH CC,Pulmonology/Respiratory
195,SIMPLE PNEUMONIA AND PLEURISY WITHOUT CC/MCC,Pulmonology/Respiratory
196,INTERSTITIAL LUNG DISEASE WITH MCC,Pulmonology/Respiratory
197,INTERSTITIAL LUNG DISEASE WITH CC,Pulmonology/Respiratory
199,PNEUMOTHORAX WITH MCC,Pulmonology/Respiratory
200,PNEUMOTHORAX WITH CC,Pulmonology/Respiratory
202,BRONCHITIS AND ASTHMA WITH CC/MCC,Pulmonology/Respiratory
203,BRONCHITIS AND ASTHMA WITHOUT CC/MCC,Pulmonology/Respiratory
204,RESPIRATORY SIGNS AND SYMPTOMS,Pulmonology/Respiratory
205,OTHER RESPIRATORY SYSTEM DIAGNOSES WITH MCC,Pulmonology/Respiratory
206,OTHER RESPIRATORY SYSTEM DIAGNOSES WITHOUT MCC,Pulmonology/Respiratory
207,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS,Pulmonology/Respiratory
208,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <=96 HOURS,Pulmonology/Respiratory
212,CONCOMITANT AORTIC AND MITRAL VALVE PROCEDURES,Cardiology
215,OTHER HEART ASSIST SYSTEM IMPLANT,Cardiology
216,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT,Cardiology
217,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT,Cardiology
219,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,Cardiology
220,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,Cardiology
221,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,Cardiology
228,OTHER CARDIOTHORACIC PROCEDURES WITH MCC,Cardiology
229,OTHER CARDIOTHORACIC PROCEDURES WITHOUT MCC,Cardiology
231,CORONARY BYPASS WITH PTCA WITH MCC,Cardiology
233,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITH MCC,Cardiology
234,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITHOUT MCC,Cardiology
235,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MCC,Cardiology
236,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,Cardiology
239,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH MCC,Cardiology
240,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH CC,Cardiology
242,PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC,Cardiology
243,PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC,Cardiology
244,PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT CC/MCC,Cardiology
250,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT INTRALUMINAL DEVICE WITH MCC,Cardiology
251,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT INTRALUMINAL DEVICE WITHOUT MCC,Cardiology
252,OTHER VASCULAR PROCEDURES WITH MCC,Cardiology
253,OTHER VASCULAR PROCEDURES WITH CC,Cardiology
254,OTHER VASCULAR PROCEDURES WITHOUT CC/MCC,Cardiology
260,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH MCC,Cardiology
261,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH CC,Cardiology
262,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITHOUT CC/MCC,Cardiology
264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,Cardiology
266,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITH MCC,Cardiology
267,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITHOUT MCC,Cardiology
268,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITH MCC,Cardiology
269,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITHOUT MCC,Cardiology
270,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH MCC,Cardiology
271,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH CC,Cardiology
272,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITHOUT CC/MCC,Cardiology
273,PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITH MCC,Cardiology
274,PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITHOUT MCC,Cardiology
275,CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION AND MCC,Cardiology
276,CARDIAC DEFIBRILLATOR IMPLANT WITH MCC OR CAROTID SINUS NEUROSTIMULATOR,Cardiology
277,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT MCC,Cardiology
278,ULTRASOUND ACCELERATED AND OTHER THROMBOLYSIS OF PERIPHERAL VASCULAR STRUCTURES WITH MCC,Cardiology
279,ULTRASOUND ACCELERATED AND OTHER THROMBOLYSIS OF PERIPHERAL VASCULAR STRUCTURES WITHOUT,Cardiology
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",Cardiology
281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",Cardiology
282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITHOUT CC/MCC",Cardiology
283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC",Cardiology
286,"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITH MCC",Cardiology
287,"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITHOUT MCC",Cardiology
291,HEART FAILURE AND SHOCK WITH MCC,Cardiology
292,HEART FAILURE AND SHOCK WITH CC,Cardiology
293,HEART FAILURE AND SHOCK WITHOUT CC/MCC,Cardiology
296,"CARDIAC ARREST, UNEXPLAINED WITH MCC",Cardiology
299,PERIPHERAL VASCULAR DISORDERS WITH MCC,Cardiology
300,PERIPHERAL VASCULAR DISORDERS WITH CC,Cardiology
301,PERIPHERAL VASCULAR DISORDERS WITHOUT CC/MCC,Cardiology
302,ATHEROSCLEROSIS WITH MCC,Cardiology
303,ATHEROSCLEROSIS WITHOUT MCC,Cardiology
304,HYPERTENSION WITH MCC,Cardiology
305,HYPERTENSION WITHOUT MCC,Cardiology
306,CARDIAC CONGENITAL AND VALVULAR DISORDERS WITH MCC,Cardiology
307,CARDIAC CONGENITAL AND VALVULAR DISORDERS WITHOUT MCC,Cardiology
308,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH MCC,Cardiology
309,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH CC,Cardiology
310,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITHOUT CC/MCC,Cardiology
311,ANGINA PECTORIS,Cardiology
312,SYNCOPE AND COLLAPSE,Cardiology
313,CHEST PAIN,Cardiology
314,OTHER CIRCULATORY SYSTEM DIAGNOSES WITH MCC,Cardiology
315,OTHER CIRCULATORY SYSTEM DIAGNOSES WITH CC,Cardiology
316,OTHER CIRCULATORY SYSTEM DIAGNOSES WITHOUT CC/MCC,Cardiology
317,CONCOMITANT LEFT ATRIAL APPENDAGE CLOSURE AND CARDIAC ABLATION,Cardiology
319,OTHER ENDOVASCULAR CARDIAC VALVE PROCEDURES WITH MCC,Cardiology
320,OTHER ENDOVASCULAR CARDIAC VALVE PROCEDURES WITHOUT MCC,Cardiology
321,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH INTRALUMINAL DEVICE WITH MCC OR 4+ ARTERIES/,Cardiology
322,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH INTRALUMINAL DEVICE WITHOUT MCC,Cardiology
323,CORONARY INTRAVASCULAR LITHOTRIPSY WITH INTRALUMINAL DEVICE WITH MCC,Cardiology
324,CORONARY INTRAVASCULAR LITHOTRIPSY WITH INTRALUMINAL DEVICE WITHOUT MCC,Cardiology
326,"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH MCC",Gastroenterology
327,"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH CC",Gastroenterology
328,"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITHOUT CC/MCC",Gastroenterology
329,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC,Gastroenterology
330,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC,Gastroenterology
331,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITHOUT CC/MCC,Gastroenterology
335,PERITONEAL ADHESIOLYSIS WITH MCC,Gastroenterology
336,PERITONEAL ADHESIOLYSIS WITH CC,Gastroenterology
337,PERITONEAL ADHESIOLYSIS WITHOUT CC/MCC,Gastroenterology
347,ANAL AND STOMAL PROCEDURES WITH MCC,Gastroenterology
350,INGUINAL AND FEMORAL HERNIA PROCEDURES WITH MCC,Gastroenterology
351,INGUINAL AND FEMORAL HERNIA PROCEDURES WITH CC,Gastroenterology
352,INGUINAL AND FEMORAL HERNIA PROCEDURES WITHOUT CC/MCC,Gastroenterology
353,HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITH MCC,Gastroenterology
354,HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITH CC,Gastroenterology
355,HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITHOUT CC/MCC,Gastroenterology
356,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH MCC,Gastroenterology
357,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH CC,Gastroenterology
368,MAJOR ESOPHAGEAL DISORDERS WITH MCC,Gastroenterology
369,MAJOR ESOPHAGEAL DISORDERS WITH CC,Gastroenterology
371,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH MCC,Gastroenterology
372,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH CC,Gastroenterology
373,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITHOUT CC/MCC,Gastroenterology
374,DIGESTIVE MALIGNANCY WITH MCC,Gastroenterology
375,DIGESTIVE MALIGNANCY WITH CC,Gastroenterology
377,GASTROINTESTINAL HEMORRHAGE WITH MCC,Gastroenterology
378,GASTROINTESTINAL HEMORRHAGE WITH CC,Gastroenterology
379,GASTROINTESTINAL HEMORRHAGE WITHOUT CC/MCC,Gastroenterology
380,COMPLICATED PEPTIC ULCER WITH MCC,Gastroenterology
381,COMPLICATED PEPTIC ULCER WITH CC,Gastroenterology
384,UNCOMPLICATED PEPTIC ULCER WITHOUT MCC,Gastroenterology
385,INFLAMMATORY BOWEL DISEASE WITH MCC,Gastroenterology
386,INFLAMMATORY BOWEL DISEASE WITH CC,Gastroenterology
388,GASTROINTESTINAL OBSTRUCTION WITH MCC,Gastroenterology
389,GASTROINTESTINAL OBSTRUCTION WITH CC,Gastroenterology
390,GASTROINTESTINAL OBSTRUCTION WITHOUT CC/MCC,Gastroenterology
391,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITH MCC",Gastroenterology
392,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC",Gastroenterology
393,OTHER DIGESTIVE SYSTEM DIAGNOSES WITH MCC,Gastroenterology
394,OTHER DIGESTIVE SYSTEM DIAGNOSES WITH CC,Gastroenterology
395,OTHER DIGESTIVE SYSTEM DIAGNOSES WITHOUT CC/MCC,Gastroenterology
398,APPENDIX PROCEDURES WITH CC,Gastroenterology
399,APPENDIX PROCEDURES WITHOUT CC/MCC,Gastroenterology
402,SINGLE LEVEL COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION EXCEPT CERVICAL,Orthopedics
405,"PANCREAS, LIVER AND SHUNT PROCEDURES WITH MCC",Gastroenterology
406,"PANCREAS, LIVER AND SHUNT PROCEDURES WITH CC",Gastroenterology
407,"PANCREAS, LIVER AND SHUNT PROCEDURES WITHOUT CC/MCC",Gastroenterology
411,CHOLECYSTECTOMY WITH C.D.E. WITH MCC,Gastroenterology
415,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITH CC,Gastroenterology
417,LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH MCC,Gastroenterology
418,LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH CC,Gastroenterology
419,LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITHOUT CC/MCC,Gastroenterology
420,HEPATOBILIARY DIAGNOSTIC PROCEDURES WITH MCC,Gastroenterology
423,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITH MCC,Gastroenterology
426,MULTIPLE LEVEL COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION EXCEPT CERVICAL WITH MCC OR,Orthopedics
427,MULTIPLE LEVEL COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION EXCEPT CERVICAL WITH CC,Orthopedics
428,MULTIPLE LEVEL COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION EXCEPT CERVICAL WITHOUT CC/,Orthopedics
430,COMBINED ANTERIOR AND POSTERIOR CERVICAL SPINAL FUSION WITHOUT MCC,Orthopedics
432,CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH MCC,Gastroenterology
433,CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH CC,Gastroenterology
435,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH MCC,Gastroenterology
436,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH CC,Gastroenterology
438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH MCC,Gastroenterology
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH CC,Gastroenterology
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITHOUT CC/MCC,Gastroenterology
441,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH MCC",Gastroenterology
442,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC",Gastroenterology
444,DISORDERS OF THE BILIARY TRACT WITH MCC,Gastroenterology
445,DISORDERS OF THE BILIARY TRACT WITH CC,Gastroenterology
446,DISORDERS OF THE BILIARY TRACT WITHOUT CC/MCC,Gastroenterology
448,MULTIPLE LEVEL SPINAL FUSION EXCEPT CERVICAL WITHOUT MCC,Orthopedics
451,SINGLE LEVEL SPINAL FUSION EXCEPT CERVICAL WITHOUT MCC,Orthopedics
