drg_cd,drg_desc,service_line
453,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH MCC,Orthopedics
454,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH CC,Orthopedics
455,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITHOUT CC/MCC,Orthopedics
456,"SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE, MALIGNANCY, INFECTION OR EXTENSIVE",Orthopedics
457,"SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE, MALIGNANCY, INFECTION OR EXTENSIVE",Orthopedics
458,"SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE, MALIGNANCY, INFECTION OR EXTENSIVE",Orthopedics
459,SPINAL FUSION EXCEPT CERVICAL WITH MCC,Orthopedics
460,SPINAL FUSION EXCEPT CERVICAL WITHOUT MCC,Orthopedics
462,BILATERAL OR MULTIPLE MAJOR JOINT PROCEDURES OF LOWER EXTREMITY WITHOUT MCC,Orthopedics
463,WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE D,Orthopedics
464,WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE D,Orthopedics
465,WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE D,Orthopedics
466,REVISION OF HIP OR KNEE REPLACEMENT WITH MCC,Orthopedics
467,REVISION OF HIP OR KNEE REPLACEMENT WITH CC,Orthopedics
468,REVISION OF HIP OR KNEE REPLACEMENT WITHOUT CC/MCC,Orthopedics
469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITH MCC OR TOTA,Orthopedics
470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC,Orthopedics
471,CERVICAL SPINAL FUSION WITH MCC,Orthopedics
472,CERVICAL SPINAL FUSION WITH CC,Orthopedics
473,CERVICAL SPINAL FUSION WITHOUT CC/MCC,Orthopedics
474,AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH MCC,Orthopedics
475,AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH CC,Orthopedics
477,BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC,Orthopedics
478,BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC,Orthopedics
479,BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT CC/MCC,Orthopedics
480,HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH MCC,Orthopedics
481,HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH CC,Orthopedics
482,HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITHOUT CC/MCC,Orthopedics
483,MAJOR JOINT OR LIMB REATTACHMENT PROCEDURES OF UPPER EXTREMITIES,Orthopedics
485,KNEE PROCEDURES WITH PRINCIPAL DIAGNOSIS OF INFECTION WITH MCC,Orthopedics
486,KNEE PROCEDURES WITH PRINCIPAL DIAGNOSIS OF INFECTION WITH CC,Orthopedics
487,KNEE PROCEDURES WITH PRINCIPAL DIAGNOSIS OF INFECTION WITHOUT CC/MCC,Orthopedics
488,KNEE PROCEDURES WITHOUT PRINCIPAL DIAGNOSIS OF INFECTION WITH CC/MCC,Orthopedics
489,KNEE PROCEDURES WITHOUT PRINCIPAL DIAGNOSIS OF INFECTION WITHOUT CC/MCC,Orthopedics
492,"LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITH MCC",Orthopedics
493,"LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITH CC",Orthopedics
494,"LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITHOUT CC/MCC",Orthopedics
496,LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITH CC,Orthopedics
497,LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITHOUT CC/,Orthopedics
500,SOFT TISSUE PROCEDURES WITH MCC,Orthopedics
501,SOFT TISSUE PROCEDURES WITH CC,Orthopedics
502,SOFT TISSUE PROCEDURES WITHOUT CC/MCC,Orthopedics
504,FOOT PROCEDURES WITH CC,Orthopedics
511,"SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITH CC",Orthopedics
512,"SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITHOUT CC/MCC",Orthopedics
513,"HAND OR WRIST PROCEDURES, EXCEPT MAJOR THUMB OR JOINT PROCEDURES WITH CC/MCC",Orthopedics
515,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITH MCC,Orthopedics
516,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITH CC,Orthopedics
517,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITHOUT CC/MCC,Orthopedics
518,BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH MCC OR DISC DEVICE OR NEUROSTIMULATOR,Orthopedics
519,BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH CC,Orthopedics
520,BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITHOUT CC/MCC,Orthopedics
521,HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITH MCC,Orthopedics
522,HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITHOUT MCC,Orthopedics
535,FRACTURES OF HIP AND PELVIS WITH MCC,Orthopedics
536,FRACTURES OF HIP AND PELVIS WITHOUT MCC,Orthopedics
539,OSTEOMYELITIS WITH MCC,Orthopedics
540,OSTEOMYELITIS WITH CC,Orthopedics
542,PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITH MCC,Orthopedics
543,PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITH CC,Orthopedics
544,PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITHOUT CC/M,Orthopedics
545,CONNECTIVE TISSUE DISORDERS WITH MCC,Orthopedics
546,CONNECTIVE TISSUE DISORDERS WITH CC,Orthopedics
547,CONNECTIVE TISSUE DISORDERS WITHOUT CC/MCC,Orthopedics
551,MEDICAL BACK PROBLEMS WITH MCC,Orthopedics
552,MEDICAL BACK PROBLEMS WITHOUT MCC,Orthopedics
553,BONE DISEASES AND ARTHROPATHIES WITH MCC,Orthopedics
554,BONE DISEASES AND ARTHROPATHIES WITHOUT MCC,Orthopedics
555,SIGNS AND SYMPTOMS OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC,Orthopedics
556,SIGNS AND SYMPTOMS OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT MCC,Orthopedics
557,"TENDONITIS, MYOSITIS AND BURSITIS WITH MCC",Orthopedics
558,"TENDONITIS, MYOSITIS AND BURSITIS WITHOUT MCC",Orthopedics
559,"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC",Orthopedics
560,"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC",Orthopedics
561,"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT CC/MCC",Orthopedics
562,"FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITH MCC",Orthopedics
563,"FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITHOUT MCC",Orthopedics
564,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITH MCC,Orthopedics
565,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITH CC,Orthopedics
570,SKIN DEBRIDEMENT WITH MCC,General Surgery
571,SKIN DEBRIDEMENT WITH CC,General Surgery
573,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITH MCC,General Surgery
574,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITH CC,General Surgery
577,SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITH CC,General Surgery
579,"OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITH MCC",General Surgery
580,"OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITH CC",General Surgery
581,"OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITHOUT CC/MCC",General Surgery
585,"BREAST BIOPSY, LOCAL EXCISION AND OTHER BREAST PROCEDURES WITHOUT CC/MCC",General Surgery
592,SKIN ULCERS WITH MCC,General Medicine
593,SKIN ULCERS WITH CC,General Medicine
596,MAJOR SKIN DISORDERS WITHOUT MCC,General Medicine
597,MALIGNANT BREAST DISORDERS WITH MCC,General Surgery
602,CELLULITIS WITH MCC,General Medicine
603,CELLULITIS WITHOUT MCC,General Medicine
604,"TRAUMA TO THE SKIN, SUBCUTANEOUS TISSUE AND BREAST WITH MCC",General Surgery
605,"TRAUMA TO THE SKIN, SUBCUTANEOUS TISSUE AND BREAST WITHOUT MCC",General Surgery
606,MINOR SKIN DISORDERS WITH MCC,General Medicine
607,MINOR SKIN DISORDERS WITHOUT MCC,General Medicine
614,ADRENAL AND PITUITARY PROCEDURES WITH CC/MCC,General Surgery
615,ADRENAL AND PITUITARY PROCEDURES WITHOUT CC/MCC,General Surgery
616,"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH MCC",General Surgery
617,"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH CC",General Surgery
620,O.R. PROCEDURES FOR OBESITY WITH CC,General Surgery
621,O.R. PROCEDURES FOR OBESITY WITHOUT CC/MCC,General Surgery
622,"SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WIT",General Surgery
623,"SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WIT",General Surgery
626,"THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES WITH CC",General Surgery
627,"THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES WITHOUT CC/MCC",General Surgery
628,"OTHER ENDOCRINE, NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITH MCC",General Surgery
629,"OTHER ENDOCRINE, NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITH CC",General Surgery
637,DIABETES WITH MCC,General Medicine
638,DIABETES WITH CC,General Medicine
639,DIABETES WITHOUT CC/MCC,General Medicine
640,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITH MCC",General Medicine
641,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITHOUT MCC",General Medicine
642,INBORN AND OTHER DISORDERS OF METABOLISM,General Medicine
643,ENDOCRINE DISORDERS WITH MCC,General Medicine
644,ENDOCRINE DISORDERS WITH CC,General Medicine
645,ENDOCRINE DISORDERS WITHOUT CC/MCC,General Medicine
650,KIDNEY TRANSPLANT WITH HEMODIALYSIS WITH MCC,Renal/Urology
651,KIDNEY TRANSPLANT WITH HEMODIALYSIS WITHOUT MCC,Renal/Urology
652,KIDNEY TRANSPLANT,Renal/Urology
653,MAJOR BLADDER PROCEDURES WITH MCC,Renal/Urology
654,MAJOR BLADDER PROCEDURES WITH CC,Renal/Urology
655,MAJOR BLADDER PROCEDURES WITHOUT CC/MCC,Renal/Urology
656,KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITH MCC,Renal/Urology
657,KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITH CC,Renal/Urology
658,KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITHOUT CC/MCC,Renal/Urology
659,KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITH MCC,Renal/Urology
660,KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITH CC,Renal/Urology
661,KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITHOUT CC/MCC,Renal/Urology
663,MINOR BLADDER PROCEDURES WITH CC,Renal/Urology
665,PROSTATECTOMY WITH MCC,Renal/Urology
668,TRANSURETHRAL PROCEDURES WITH MCC,Renal/Urology
669,TRANSURETHRAL PROCEDURES WITH CC,Renal/Urology
673,OTHER KIDNEY AND URINARY TRACT PROCEDURES WITH MCC,Renal/Urology
674,OTHER KIDNEY AND URINARY TRACT PROCEDURES WITH CC,Renal/Urology
682,RENAL FAILURE WITH MCC,Renal/Urology
683,RENAL FAILURE WITH CC,Renal/Urology
684,RENAL FAILURE WITHOUT CC/MCC,Renal/Urology
686,KIDNEY AND URINARY TRACT NEOPLASMS WITH MCC,Renal/Urology
687,KIDNEY AND URINARY TRACT NEOPLASMS WITH CC,Renal/Urology
689,KIDNEY AND URINARY TRACT INFECTIONS WITH MCC,Renal/Urology
690,KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MCC,Renal/Urology
694,URINARY STONES WITHOUT MCC,Renal/Urology
696,KIDNEY AND URINARY TRACT SIGNS AND SYMPTOMS WITHOUT MCC,Renal/Urology
698,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC,Renal/Urology
699,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH CC,Renal/Urology
700,OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITHOUT CC/MCC,Renal/Urology
707,MAJOR MALE PELVIC PROCEDURES WITH CC/MCC,Renal/Urology
708,MAJOR MALE PELVIC PROCEDURES WITHOUT CC/MCC,Renal/Urology
713,TRANSURETHRAL PROSTATECTOMY WITH CC/MCC,Renal/Urology
714,TRANSURETHRAL PROSTATECTOMY WITHOUT CC/MCC,Renal/Urology
717,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES EXCEPT MALIGNANCY WITH CC/MCC,Renal/Urology
722,"MALIGNANCY, MALE REPRODUCTIVE SYSTEM WITH MCC",Renal/Urology
726,BENIGN PROSTATIC HYPERTROPHY WITHOUT MCC,Renal/Urology
728,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM WITHOUT MCC,Renal/Urology
734,"PELVIC EVISCERATION, RADICAL HYSTERECTOMY AND RADICAL VULVECTOMY WITH CC/MCC",Obstetrics
737,UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITH CC,Obstetrics
739,UTERINE AND ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITH MCC,Obstetrics
740,UTERINE AND ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITH CC,Obstetrics
741,UTERINE AND ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITHOUT CC/MCC,Obstetrics
742,UTERINE AND ADNEXA PROCEDURES FOR NON-MALIGNANCY WITH CC/MCC,Obstetrics
743,UTERINE AND ADNEXA PROCEDURES FOR NON-MALIGNANCY WITHOUT CC/MCC,Obstetrics
744,"D&C, CONIZATION, LAPAROSCOPY AND TUBAL INTERRUPTION WITH CC/MCC",Obstetrics
746,"VAGINA, CERVIX AND VULVA PROCEDURES WITH CC/MCC",Obstetrics
747,"VAGINA, CERVIX AND VULVA PROCEDURES WITHOUT CC/MCC",Obstetrics
748,FEMALE REPRODUCTIVE SYSTEM RECONSTRUCTIVE PROCEDURES,Obstetrics
754,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM WITH MCC",Obstetrics
755,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM WITH CC",Obstetrics
808,MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATIO,General Medicine
809,MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATIO,General Medicine
811,RED BLOOD CELL DISORDERS WITH MCC,General Medicine
812,RED BLOOD CELL DISORDERS WITHOUT MCC,General Medicine
813,COAGULATION DISORDERS,General Medicine
814,RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITH MCC,General Medicine
815,RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITH CC,General Medicine
820,LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURES WITH MCC,Oncology
821,LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURES WITH CC,Oncology
822,LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURES WITHOUT CC/MCC,Oncology
823,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURES WITH MCC,Oncology
824,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURES WITH CC,Oncology
826,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDUR,Oncology
827,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDUR,Oncology
828,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDUR,Oncology
829,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH OTHER PROCEDURES WI,Oncology
834,ACUTE LEUKEMIA WITH MCC,Oncology
835,ACUTE LEUKEMIA WITH CC,Oncology
837,CHEMOTHERAPY WITH ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS OR WITH HIGH DOSE CHEMOTHERAPY A,Oncology
838,CHEMOTHERAPY WITH ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS WITH CC OR HIGH DOSE CHEMOTHERAP,Oncology
839,CHEMOTHERAPY WITH ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS WITHOUT CC/MCC,Oncology
840,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH MCC,Oncology
841,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH CC,Oncology
842,LYMPHOMA AND NON-ACUTE LEUKEMIA WITHOUT CC/MCC,Oncology
843,OTHER MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASTIC DIAGNOSES WITH MC,Oncology
846,CHEMOTHERAPY WITHOUT ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS WITH MCC,Oncology
847,CHEMOTHERAPY WITHOUT ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS WITH CC,Oncology
849,RADIOTHERAPY,Oncology
853,INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURES WITH MCC,General Medicine
854,INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURES WITH CC,General Medicine
856,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURES WITH MCC,General Medicine
857,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURES WITH CC,General Medicine
862,POSTOPERATIVE AND POST-TRAUMATIC INFECTIONS WITH MCC,General Medicine
863,POSTOPERATIVE AND POST-TRAUMATIC INFECTIONS WITHOUT MCC,General Medicine
864,FEVER AND INFLAMMATORY CONDITIONS,General Medicine
865,VIRAL ILLNESS WITH MCC,General Medicine
866,VIRAL ILLNESS WITHOUT MCC,General Medicine
867,OTHER INFECTIOUS AND PARASITIC DISEASES DIAGNOSES WITH MCC,General Medicine
868,OTHER INFECTIOUS AND PARASITIC DISEASES DIAGNOSES WITH CC,General Medicine
870,SEPTICEMIA OR SEVERE SEPSIS WITH MV >96 HOURS,General Medicine
871,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,General Medicine
872,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC,General Medicine
876,O.R. PROCEDURES WITH PRINCIPAL DIAGNOSIS OF MENTAL ILLNESS,Psychiatry
880,ACUTE ADJUSTMENT REACTION AND PSYCHOSOCIAL DYSFUNCTION,Psychiatry
881,DEPRESSIVE NEUROSES,Psychiatry
882,NEUROSES EXCEPT DEPRESSIVE,Psychiatry
883,DISORDERS OF PERSONALITY AND IMPULSE CONTROL,Psychiatry
884,ORGANIC DISTURBANCES AND INTELLECTUAL DISABILITY,Psychiatry
885,PSYCHOSES,Psychiatry
894,"ALCOHOL, DRUG ABUSE OR DEPENDENCE, LEFT AMA",Psychiatry
895,"ALCOHOL, DRUG ABUSE OR DEPENDENCE WITH REHABILITATION THERAPY",Psychiatry
896,"ALCOHOL, DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITH MCC",Psychiatry
897,"ALCOHOL, DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITHOUT MCC",Psychiatry
902,WOUND DEBRIDEMENTS FOR INJURIES WITH CC,General Surgery
904,SKIN GRAFTS FOR INJURIES WITH CC/MCC,General Surgery
907,OTHER O.R. PROCEDURES FOR INJURIES WITH MCC,General Surgery
908,OTHER O.R. PROCEDURES FOR INJURIES WITH CC,General Surgery
909,OTHER O.R. PROCEDURES FOR INJURIES WITHOUT CC/MCC,General Surgery
913,TRAUMATIC INJURY WITH MCC,General Medicine
914,TRAUMATIC INJURY WITHOUT MCC,General Medicine
916,ALLERGIC REACTIONS WITHOUT MCC,General Medicine
917,POISONING AND TOXIC EFFECTS OF DRUGS WITH MCC,General Medicine
918,POISONING AND TOXIC EFFECTS OF DRUGS WITHOUT MCC,General Medicine
919,COMPLICATIONS OF TREATMENT WITH MCC,General Medicine
920,COMPLICATIONS OF TREATMENT WITH CC,General Medicine
921,COMPLICATIONS OF TREATMENT WITHOUT CC/MCC,General Medicine
922,"OTHER INJURY, POISONING AND TOXIC EFFECT DIAGNOSES WITH MCC",General Medicine
923,"OTHER INJURY, POISONING AND TOXIC EFFECT DIAGNOSES WITHOUT MCC",General Medicine
928,FULL THICKNESS BURN WITH SKIN GRAFT OR INHALATION INJURY WITH CC/MCC,General Surgery
934,FULL THICKNESS BURN WITHOUT SKIN GRAFT OR INHALATION INJURY,General Surgery
935,NON-EXTENSIVE BURNS,General Surgery
940,O.R. PROCEDURES WITH DIAGNOSES OF OTHER CONTACT WITH HEALTH SERVICES WITH CC,General Medicine
941,O.R. PROCEDURES WITH DIAGNOSES OF OTHER CONTACT WITH HEALTH SERVICES WITHOUT CC/MCC,General Medicine
945,REHABILITATION WITH CC/MCC,General Medicine
946,REHABILITATION WITHOUT CC/MCC,General Medicine
947,SIGNS AND SYMPTOMS WITH MCC,General Medicine
948,SIGNS AND SYMPTOMS WITHOUT MCC,General Medicine
949,AFTERCARE WITH CC/MCC,General Medicine
950,AFTERCARE WITHOUT CC/MCC,General Medicine
951,OTHER FACTORS INFLUENCING HEALTH STATUS,General Medicine
956,"LIMB REATTACHMENT, HIP AND FEMUR PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA",Orthopedics
957,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA WITH MCC,General Surgery
958,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA WITH CC,General Surgery
963,OTHER MULTIPLE SIGNIFICANT TRAUMA WITH MCC,General Surgery
964,OTHER MULTIPLE SIGNIFICANT TRAUMA WITH CC,General Surgery
974,HIV WITH MAJOR RELATED CONDITION WITH MCC,General Medicine
975,HIV WITH MAJOR RELATED CONDITION WITH CC,General Medicine
981,EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH MCC,General Surgery
982,EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH CC,General Surgery
983,EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITHOUT CC/MCC,General Surgery
987,NON-EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH MCC,General Surgery
988,NON-EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH CC,General Surgery
